Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
0,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
1,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
2,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
3,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
4,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
5,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
6,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
7,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
8,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
9,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
10,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
11,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
12,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
13,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
