Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
36,0,"[[42.0, 436.0], [216.0, 421.0], [233.0, 578.0], [57.0, 598.0]]",0.2784010231307639,-4.723252354468734,-8.25740754174205,-178.43285512888036
37,0,"[[91.0, 429.0], [262.0, 414.0], [282.0, 571.0], [110.0, 591.0]]",0.26816231814128644,-5.159940645487258,-6.213034108619149,-176.87139881246722
38,0,"[[157.0, 406.0], [322.0, 394.0], [345.0, 547.0], [179.0, 563.0]]",0.26056531710112557,-4.58672428872275,-4.066876689567047,-172.89076960280875
39,0,"[[241.0, 385.0], [403.0, 373.0], [422.0, 524.0], [259.0, 541.0]]",0.2540938222242037,-4.807888298196902,-5.896407952877284,-174.62201388217878
40,0,"[[282.0, 375.0], [443.0, 363.0], [458.0, 516.0], [296.0, 532.0]]",0.24979144071934659,-4.589936240380614,-6.211958092608782,-177.86667071862595
41,0,"[[306.0, 370.0], [465.0, 359.0], [479.0, 510.0], [318.0, 525.0]]",0.2504554861776278,-4.248899978062137,-7.479214394178503,-178.27513905247014
42,0,"[[335.0, 357.0], [493.0, 345.0], [513.0, 503.0], [355.0, 518.0]]",0.23617835446285798,-5.307987494331102,2.806263532153032,-175.45579999177664
43,0,"[[407.0, 353.0], [561.0, 340.0], [588.0, 497.0], [432.0, 512.0]]",0.22947853492248665,-6.170621062820815,8.410945694785273,-172.1502589401714
44,0,"[[407.0, 353.0], [561.0, 340.0], [588.0, 497.0], [432.0, 512.0]]",0.22947853492248665,-6.170621062820815,8.410945694785273,-172.1502589401714
45,0,"[[494.0, 342.0], [647.0, 327.0], [673.0, 484.0], [517.0, 499.0]]",0.22838709892759798,-6.727245000959049,10.328269025463774,-173.79013676888158
46,0,"[[571.0, 340.0], [726.0, 324.0], [750.0, 482.0], [592.0, 498.0]]",0.2287917812665436,-5.817214678879609,-7.859843687020146,168.9520178704622
47,0,"[[643.0, 352.0], [800.0, 335.0], [822.0, 494.0], [663.0, 509.0]]",0.2327277167657663,-6.653313097294833,3.1016736196101036,174.18139812699644
48,0,"[[700.0, 352.0], [857.0, 335.0], [884.0, 490.0], [724.0, 507.0]]",0.23608956117779187,-6.54285267229754,0.8279417959892661,166.52243002318454
49,0,"[[757.0, 337.0], [916.0, 318.0], [943.0, 473.0], [781.0, 490.0]]",0.24196998110832674,-7.243179946926724,6.077307154340659,169.02369358964722
50,0,"[[821.0, 315.0], [983.0, 294.0], [1011.0, 453.0], [845.0, 471.0]]",0.24427259900687975,-7.3653374870648625,6.404925841789047,172.51364492538306
51,0,"[[877.0, 292.0], [1043.0, 269.0], [1077.0, 431.0], [909.0, 450.0]]",0.24518970728571163,-7.649232025348867,3.8455666332145997,170.39786389573146
52,0,"[[949.0, 274.0], [1119.0, 249.0], [1159.0, 416.0], [984.0, 435.0]]",0.24861010742269724,-7.602684407738253,3.6942268775623166,169.73549021990146
53,0,"[[1017.0, 268.0], [1192.0, 240.0], [1230.0, 415.0], [1049.0, 435.0]]",0.251784988898816,-7.902399192159168,3.564963155844314,173.83182908018847
